ID#,Country,SERIES          SH,SHOT,YEAR,MON,DAY,SITE,LAT,LONG,HOB,YD-MN,YIELD,DATE,MON_NUM,HOB_ft
225,USA,Nougat,Hudson,1962,APR,12,NTS-YF,37.12717,-116.04486,-150.88,0,1,4/12/1962,4,-46
274,USA,Storax,Wichita,1962,JUL,27,NTS-YF,37.12972,-116.05647,-150.27,0,3.5,7/27/1962,7,-45.81402439
339,USA,Niblick,Narraguagus,1963,SEP,27,NTS-YF,37.15478,-116.07336,-150.27,0,0.08,9/27/1963,9,-45.81402439
213,USA,Nougat,Chinchilla I,1962,FEB,19,NTS-YF,37.04906,-116.02953,-150.08,1.9,1.9,2/19/1962,2,-45.75609756
127,USA,Hardtack I,Wahoo,1958,MAY,16,EN,11.3447,162.1789,-150,9,9,5/16/1958,5,-45.73170732
160,USA,Hardtack II,Otero,1958,SEP,12,NTS-YF,37.05,-116.0319,-150,0.038,0.038,9/12/1958,9,-45.73170732
161,USA,Hardtack II,Bernalillo,1958,SEP,17,NTS-YF,37.0494,-116.033,-150,0.015,0.015,9/17/1958,9,-45.73170732
100,USA,Plumbbob,Pascal-A,1957,JUL,26,NTS-YF,37.0518,-116.0334,-150,0,0.01,7/26/1957,7,-45.73170732
105,USA,Plumbbob,Pascal-B,1957,AUG,27,NTS-YF,37.0491,-116.034,-150,0,0.01,8/27/1957,8,-45.73170732
169,USA,Hardtack II,Colfax,1958,OCT,5,NTS-YF,37.0489,-116.0342,-150,0.0055,0.0055,10/5/1958,10,-45.73170732
165,USA,Hardtack II,Valencia,1958,SEP,26,NTS-YF,37.0497,-116.0297,-150,0.002,0.002,9/26/1958,9,-45.73170732
163,USA,Hardtack II,Luna,1958,SEP,21,NTS-YF,37.0492,-116.0336,-150,0.0015,0.0015,9/21/1958,9,-45.73170732
264,USA,Nougat,Sacramento,1962,JUN,30,NTS-YF,37.11742,-116.04742,-149.05,0,4,6/30/1962,6,-45.44207317
341,USA,Niblick,Tornillo,1963,OCT,11,NTS-YF,37.11872,-116.03386,-149.05,0.38,0.38,10/11/1963,10,-45.44207317
222,USA,Nougat,Chinchilla II,1962,MAR,31,NTS-YF,37.04692,-116.03689,-136.67,0,2,3/31/1962,3,-41.66768293
327,USA,Storax,Hutia,1963,JUN,6,NTS-YF,37.04503,-116.03636,-134.57,0,3,6/6/1963,6,-41.02743902
234,USSR,1964,,1964,SEP,18,NZ-NS,73.667,54.533,-130,0.001,2,9/18/1964,9,-39.63414634
170,USA,Hardtack II,Tamalpais,1958,OCT,8,NTS-RM,37.1953,-116.2003,-124.05,0.072,0.072,10/8/1958,10,-37.82012195
411,USA,Whetstone,Palanquin,1965,APR,14,NTS-PM,37.28039,-116.52356,-85.34,4.3,4.3,4/14/1965,4,-26.01829268
118,USA,Project 58,Pascal-C,1957,DEC,6,NTS-YF,37.0499,-116.0309,-80,0,0.01,12/6/1957,12,-24.3902439
164,USA,Hardtack II,Mercury,1958,SEP,23,NTS-RM,37.1931,-116.2006,-55.78,0,0.01,9/23/1958,9,-17.00609756
